# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = -0.40 ([Fe/H]_sun = 0.0181)
# X = 7.3669E-01   Y = 2.580E-01   Z = 5.3084E-03 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.060,7.00E+07,3.45569,-2.85277,0.736647,2277880.0,4.84644,0.15307
0.065,7.00E+07,3.46446,-2.78977,0.736647,2448690.0,4.85328,0.158071
0.070,7.00E+07,3.47174,-2.7335,0.736647,2609590.0,4.8583,0.163093
0.075,7.00E+07,3.47824,-2.68241,0.736647,2763880.0,4.86319,0.167869
0.080,7.00E+07,3.48445,-2.63293,0.736647,2909670.0,4.86659,0.172696
0.085,7.00E+07,3.48998,-2.58697,0.736647,3048160.0,4.86906,0.177506
0.090,7.00E+07,3.49466,-2.54494,0.736647,3179530.0,4.87061,0.182327
0.095,7.00E+07,3.49873,-2.50674,0.736647,3306340.0,4.87214,0.186993
0.100,7.00E+07,3.50238,-2.47061,0.736647,3426860.0,4.87289,0.191685
0.110,7.00E+07,3.50872,-2.40472,0.736647,3654470.0,4.87374,0.200845
0.120,7.00E+07,3.5141,-2.34589,0.736647,3867660.0,4.87424,0.209655
0.130,7.00E+07,3.5191,-2.29073,0.736647,4066100.0,4.87383,0.218317
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,8.00E+07,3.43967,-2.97801,0.736647,2123220.0,4.86982,0.142661
0.060,8.00E+07,3.45135,-2.9032,0.736647,2314680.0,4.87951,0.147352
0.065,8.00E+07,3.4609,-2.83785,0.736647,2495570.0,4.88712,0.152031
0.070,8.00E+07,3.46867,-2.78019,0.736647,2666150.0,4.89273,0.156753
0.075,8.00E+07,3.47535,-2.72883,0.736647,2829480.0,4.89804,0.161267
0.080,8.00E+07,3.48165,-2.67954,0.736647,2984370.0,4.902,0.165798
0.085,8.00E+07,3.48749,-2.63285,0.736647,3131680.0,4.90498,0.170315
0.090,8.00E+07,3.49254,-2.58973,0.736647,3271360.0,4.90691,0.174865
0.095,8.00E+07,3.49689,-2.5506,0.736647,3405770.0,4.90863,0.179299
0.100,8.00E+07,3.50076,-2.51376,0.736647,3533560.0,4.90957,0.183759
0.110,8.00E+07,3.50743,-2.44674,0.736647,3774550.0,4.91062,0.192494
0.120,8.00E+07,3.51297,-2.38733,0.736647,3999610.0,4.91115,0.200931
0.130,8.00E+07,3.51803,-2.33202,0.736647,4209320.0,4.91085,0.209209
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,9.00E+07,3.43449,-3.02629,0.736647,2142260.0,4.89739,0.138204
0.060,9.00E+07,3.44707,-2.94893,0.736647,2343150.0,4.90811,0.142579
0.065,9.00E+07,3.45738,-2.88134,0.736647,2533330.0,4.91652,0.146971
0.070,9.00E+07,3.46576,-2.82183,0.736647,2712900.0,4.92274,0.151431
0.075,9.00E+07,3.4727,-2.7698,0.736647,2884600.0,4.92842,0.155724
0.080,9.00E+07,3.47906,-2.72073,0.736647,3047770.0,4.93283,0.160017
0.085,9.00E+07,3.48507,-2.67376,0.736647,3203120.0,4.93623,0.164297
